videos	dish	other_names	kept_video	kept_title	other_videos
2	طاجن لحمة		9xpLOazUXYU	الموزة دي مش أكلة.. دي حالة مزاج! 😍🍖دوبان اللحمة الطاجن يخلي العزومة تحكي عن نفس	b7DOf0uGQuY
2	دونر كباب		xajZMv9UZ-I	الطعم التركي الأصلي وصل 🥙 دونر كباب في البيت بكل سهوله 👌أسرع و أطعم ساندوتش هيعج	ZKHVKagaGw8
2	تشيز كيك		GXci1LcT16w	اسهل طريقه لعمل التشيز كيك 👍😉 طعمها توووحفه 😋❤
من مطبخي #فاطمه_ابو_حاتي 💪	o4_G_YnbrHg
2	دقه		Sxe1P-6wrTs	ممنوع لاصحاب القلوب الضعيفه.. لكل عشاق الفلفل الحار 🌶🌶 ٥ وصفات هتغير طعم اكلك من	C_ObKS_-Udo
2	دوناتس		5rawCEP02-U	لما ابو حاتي تعمل  كريسبي كريم ( دوناتس )في البيت -فاطمة أبو حاتي	x1bo9bgkCLg
2	برجر		3W2lB0KTOqY	بناء على طلب الجماهير سندوتشين من أحب السندوتشات طوول الصيف "برجر وكوردون بلو"	CYKoVg92Wfo
2	كيك المانجو		iu3dgWKAPBs	كيكة سهله و سريعه لعشاق المانجو 😍😋 من مطبخي #فاطمه_ابو_حاتي 💪	_B_7y7PnKxU
2	ورق عنب		AeF87q3qY08	أحلي وألذ محشي ورق عنب بيدوب 😋 بمكون سري جديد 👌 وإزاي تنقيه وتلفيه بكل سهولة 😍 |	agZhAxrNsWQ
2	سويسرول		hBj0QpCtg-g	لو السويسرول بيفشل معاكي تعالي شوفي الطريقة دي بكل التكات😉😍توووووحفه من مطبخي#فا	mY0lYWTTu-w
2	باتيه		pPB5Y9t8S8A	الكرواسون والباتيه 👌🏻😋 أسهل وأسرع طريقة عمل كرواسون 😍😋 وبأقل نسبة دهون مضمونة 10	WIlWL0mTkQM
2	كرواسون		pPB5Y9t8S8A	الكرواسون والباتيه 👌🏻😋 أسهل وأسرع طريقة عمل كرواسون 😍😋 وبأقل نسبة دهون مضمونة 10	WIlWL0mTkQM
2	قرص طرية فلاحي		w1qqj8pvTDc	القرص الطرية الفلاحي 😋🤩 بكل أسرارها و حشواتها زي ما قال الكتاب 💪🏻😍 على طريقة أمي	kNz--HgqaCc
2	صينية فراخ		GaaFcYwKC8U	خلي بالك من صوابعك 🤚🏼🛑 صنية فراخ بطريقة جدتي بطعم و ريحة زمان 🥰😋- فاطمة أبو حاتي	AHg4EF6Lb9U
2	صينية بطاطس		GlqJCeqdiog	اسهل و اسرع و ألذ صينية بطاطس ممكن تعمليها 👍🏻😋 #فاطمه_ابو_حاتي 💪🏻	LzTGldMs_Do
2	عيش إسفنجي بدون فرن		HGGHcLnuYZg	بشويه دقيق و مياه هتعملي أحلي عيش اسفنجي من غير فرن  يحلي كل اكلاتك و الطعم توحف	wk4qMWQLO7Q
2	منين بالعجوة		8Kl5UVP1mjQ	هو فطار العيد ينفع من غير منين بالعجوه وشوية قراقيش .. هما خمس اسرار وهيطلع معاك	QJ-LmFcMLYQ
2	بوريك تركي		xge9jJGIEw4	البوريك التركي لاحلي غدا و عشا😋😉 مقرمش من بره وطري ولذيذ من جوه😋من مطبخي #فاطمه_	YAJa_Y05IK4
2	زبادي بيتي		G4MFF1Qd-jI	بكيلو لبن بس 🥛 هتعملي 10 كوبيات زبادي ❤️ رمضان بدون عطش 😍👌 - فاطمة أبو حاتي	9fc0AoxzMrU
